date,brew_rank,brew_installs,brew_pct,github_stars
2023-01-27,,,,35
2023-01-28,,,,41
2023-01-29,,,,47
2023-01-30,,,,130
2023-01-31,,,,187
2023-02-01,,,,209
2023-02-02,,,,222
2023-02-03,,,,347
2023-02-04,,,,394
2023-02-05,,,,446
2023-02-06,,,,473
2023-02-07,,,,486
2023-02-08,,,,501
2023-02-09,,,,504
2023-02-10,,,,508
2023-02-11,,,,510
2023-02-12,,,,517
2023-02-13,,,,528
2023-02-14,,,,546
2023-02-15,,,,588
2023-02-16,,,,605
2023-02-17,,,,628
2023-02-18,,,,634
2023-02-19,,,,644
2023-02-20,,,,651
2023-02-21,,,,660
2023-02-22,,,,670
2023-02-23,,,,745
2023-02-24,,,,791
2023-02-25,,,,896
2023-02-26,,,,971
2023-02-27,,,,1077
2023-02-28,,,,1152
2023-03-01,,,,1184
2023-03-02,,,,1199
2023-03-03,,,,1212
2023-03-04,,,,1227
2023-03-05,,,,1276
2023-03-06,,,,1335
2023-03-07,,,,1375
2023-03-08,,,,1386
2023-03-09,,,,1403
2023-03-10,,,,1416
2023-03-11,,,,1425
2023-03-12,,,,1428
2023-03-13,,,,1445
2023-03-14,,,,1456
2023-03-15,,,,1474
2023-03-16,,,,1487
2023-03-17,,,,1493
2023-03-18,,,,1507
2023-03-19,,,,1524
2023-03-20,,,,1549
2023-03-21,,,,1559
2023-03-22,,,,1570
2023-03-23,,,,1580
2023-03-24,,,,1586
2023-03-25,,,,1592
2023-03-26,,,,1608
2023-03-27,,,,1623
2023-03-28,,,,1627
2023-03-29,,,,1632
2023-03-30,,,,1642
2023-03-31,,,,1645
2023-04-01,,,,1652
2023-04-02,,,,1655
2023-04-03,,,,1661
2023-04-04,,,,1666
2023-04-05,,,,1674
2023-04-06,,,,1680
2023-04-07,,,,1685
2023-04-08,,,,1691
2023-04-10,,,,1697
2023-04-11,,,,1706
2023-04-12,,,,1709
2023-04-13,,,,1714
2023-04-14,,,,1719
2023-04-15,,,,1723
2023-04-16,,,,1729
2023-04-17,,,,1751
2023-04-18,,,,1759
2023-04-19,,,,1772
2023-04-20,,,,1780
2023-04-21,,,,1791
2023-04-22,,,,1806
2023-04-23,,,,1828
2023-04-24,,,,1845
2023-04-25,,,,1855
2023-04-26,,,,1864
2023-04-27,,,,1869
2023-04-28,,,,1880
2023-04-29,,,,1881
2023-04-30,,,,1885
2023-05-01,,,,1894
2023-05-02,,,,1909
2023-05-03,,,,1911
2023-05-04,,,,1918
2023-05-05,,,,1926
2023-05-06,,,,1933
2023-05-07,,,,1936
2023-05-08,,,,1951
2023-05-09,,,,1957
2023-05-10,,,,1970
2023-05-11,,,,1988
2023-05-12,,,,1993
2023-05-13,,,,1997
2023-05-14,,,,1998
2023-05-15,,,,2006
2023-05-16,,,,2012
2023-05-17,,,,2015
2023-05-18,,,,2016
2023-05-19,,,,2029
2023-05-20,,,,2031
2023-05-21,,,,2038
2023-05-22,,,,2045
2023-05-23,,,,2056
2023-05-24,,,,2059
2023-05-25,,,,2069
2023-05-26,,,,2080
2023-05-27,,,,2088
2023-05-28,,,,2096
2023-05-29,,,,2106
2023-05-30,,,,2114
2023-05-31,,,,2123
2023-06-01,,,,2133
2023-06-02,,,,2150
2023-06-03,,,,2156
2023-06-04,,,,2164
2023-06-05,,,,2168
2023-06-06,,,,2172
2023-06-07,,,,2178
2023-06-08,,,,2186
2023-06-09,,,,2188
2023-06-10,,,,2195
2023-06-11,,,,2201
2023-06-12,,,,2207
2023-06-13,,,,2214
2023-06-14,,,,2223
2023-06-15,,,,2226
2023-06-16,,,,2233
2023-06-17,,,,2242
2023-06-18,,,,2248
2023-06-19,,,,2254
2023-06-20,,,,2259
2023-06-21,,,,2267
2023-06-22,,,,2276
2023-06-23,,,,2282
2023-06-24,,,,2287
2023-06-25,,,,2293
2023-06-26,,,,2302
2023-06-27,,,,2308
2023-06-28,,,,2319
2023-06-29,,,,2329
2023-06-30,,,,2340
2023-07-01,,,,2345
2023-07-02,,,,2347
2023-07-03,,,,2352
2023-07-04,,,,2358
2023-07-05,,,,2373
2023-07-06,,,,2380
2023-07-07,,,,2385
2023-07-08,,,,2390
2023-07-10,,,,2399
2023-07-11,,,,2407
2023-07-12,,,,2412
2023-07-13,,,,2421
2023-07-14,,,,2433
2023-07-15,,,,2435
2023-07-16,,,,2440
2023-07-17,,,,2445
2023-07-18,,,,2448
2023-07-19,,,,2456
2023-07-20,,,,2468
2023-07-21,,,,2483
2023-07-22,,,,2489
2023-07-23,,,,2491
2023-07-24,,,,2495
2023-07-25,,,,2499
2023-07-26,,,,2502
2023-07-27,,,,2511
2023-07-28,,,,2514
2023-07-29,,,,2519
2023-07-30,,,,2540
2023-07-31,,,,2557
2023-08-01,,,,2577
2023-08-02,,,,2593
2023-08-03,,,,2609
2023-08-04,,,,2614
2023-08-05,,,,2623
2023-08-06,,,,2625
2023-08-07,,,,2629
2023-08-08,,,,2633
2023-08-09,,,,2641
2023-08-10,,,,2647
2023-08-11,,,,2653
2023-08-12,,,,2656
2023-08-13,,,,2660
2023-08-14,,,,2664
2023-08-15,,,,2671
2023-08-16,,,,2673
2023-08-17,,,,2678
2023-08-18,,,,2687
2023-08-19,,,,2698
2023-08-20,,,,2714
2023-08-21,,,,2730
2023-08-22,,,,2743
2023-08-23,,,,2758
2023-08-24,,,,2767
2023-08-25,,,,2769
2023-08-26,,,,2772
2023-08-27,,,,2778
2023-08-28,,,,2785
2023-08-29,,,,2793
2023-08-30,,,,2799
2023-08-31,,,,2805
2023-09-01,,,,2811
2023-09-02,,,,2817
2023-09-03,,,,2820
2023-09-04,,,,2831
2023-09-05,,,,2841
2023-09-06,,,,2850
2023-09-07,,,,2853
2023-09-08,,,,2858
2023-09-09,,,,2860
2023-09-10,,,,2865
2023-09-11,,,,2873
2023-09-12,,,,2889
2023-09-13,,,,2893
2023-09-14,,,,2899
2023-09-15,,,,2907
2023-09-16,,,,2911
2023-09-17,,,,2918
2023-09-18,,,,2926
2023-09-19,,,,2934
2023-09-20,,,,2946
2023-09-21,,,,2959
2023-09-22,,,,2965
2023-09-23,,,,2967
2023-09-24,,,,2970
2023-09-25,,,,2979
2023-09-26,,,,2986
2023-09-27,,,,2993
2023-09-28,,,,3001
2023-09-29,,,,3005
2023-09-30,,,,3009
2023-10-01,,,,3014
2023-10-02,,,,3021
2023-10-03,,,,3027
2023-10-04,,,,3031
2023-10-05,,,,3039
2023-10-06,,,,3049
2023-10-07,,,,3055
2023-10-08,,,,3068
2023-10-09,,,,3082
2023-10-10,,,,3095
2023-10-11,,,,3115
2023-10-12,,,,3124
2023-10-13,,,,3137
2023-10-14,,,,3149
2023-10-15,,,,3156
2023-10-16,,,,3167
2023-10-17,,,,3170
2023-10-18,,,,3180
2023-10-19,,,,3184
2023-10-20,,,,3194
2023-10-21,,,,3197
2023-10-22,,,,3205
2023-10-23,,,,3212
2023-10-24,,,,3221
2023-10-25,,,,3228
2023-10-26,,,,3235
2023-10-27,,,,3238
2023-10-28,,,,3239
2023-10-29,,,,3245
2023-10-30,,,,3248
2023-10-31,,,,3257
2023-11-01,,,,3258
2023-11-02,,,,3261
2023-11-03,,,,3266
2023-11-04,,,,3271
2023-11-05,,,,3277
2023-11-06,,,,3279
2023-11-07,,,,3283
2023-11-08,,,,3291
2023-11-09,,,,3297
2023-11-10,,,,3305
2023-11-11,,,,3309
2023-11-12,,,,3310
2023-11-13,,,,3315
2023-11-14,,,,3318
2023-11-15,,,,3321
2023-11-16,,,,3324
2023-11-17,,,,3327
2023-11-18,,,,3331
2023-11-19,,,,3334
2023-11-20,,,,3339
2023-11-21,,,,3349
2023-11-22,,,,3357
2023-11-23,,,,3367
2023-11-24,,,,3374
2023-11-25,,,,3377
2023-11-26,,,,3381
2023-11-27,,,,3390
2023-11-28,,,,3396
